buy_brown,buy_light_blue,buy_pink,buy_orange,buy_red,buy_yellow,buy_green,buy_indigo,buy_stations,buy_utilities,max_development_level,unspendable_cash,n_games,actual_win_rate,avg_predicted_win_prob,roi,props,houses,hotels,turns
True,True,False,False,True,True,False,False,True,False,5,0,100,0.36,0.3457258308539195,4.07874,9.67,1.95,1.8,141.15
True,True,False,True,True,True,False,True,False,False,3,50,100,0.35,0.3456772148815791,3.65052,8.22,1.31,1.69,128.92
True,False,False,False,False,True,True,False,True,False,3,100,100,0.31,0.3455255018849935,2.683466666666667,7.63,1.69,1.7,100.59
False,True,True,True,True,False,True,False,True,True,3,0,100,0.29,0.34547970322270233,4.232606666666666,7.62,0.66,1.24,161.32
False,True,False,False,False,False,True,True,False,True,3,0,100,0.31,0.34517821825969947,3.6654333333333335,9.11,1.74,1.57,138.79
True,False,True,False,False,True,False,True,False,True,3,100,100,0.31,0.3451399174841054,3.22108,8.83,2.36,1.78,117.14
True,False,False,False,True,False,False,False,True,True,5,0,100,0.33,0.3450939088418463,3.66692,9.21,2.08,2.08,137.11
True,True,True,False,True,True,False,True,True,True,3,100,100,0.31,0.3444261535854521,4.260606666666666,6.99,1.3,1.42,143.46
False,True,True,False,True,False,True,True,False,False,3,0,100,0.31,0.34402744211459085,4.370373333333333,8.25,1.09,1.6,163.35
True,True,True,True,True,False,True,False,False,False,3,100,100,0.33,0.3438394241423425,4.411233333333334,8.49,2.25,1.56,149.15
True,True,False,False,False,True,False,True,False,False,5,100,100,0.3,0.3435942363675077,3.4502866666666665,8.38,0.85,1.69,133.69
False,True,True,False,False,False,True,False,False,False,5,50,100,0.32,0.3435348503013353,3.6858,8.08,1.47,1.61,140.56
True,False,True,True,True,False,False,False,True,True,3,100,100,0.3,0.3435312587938358,3.4164800000000004,7.56,1.53,1.48,129.48
False,True,False,False,False,True,True,True,False,True,5,0,100,0.31,0.34337672785037987,3.7637533333333333,8.15,1.57,1.63,139.36
False,True,False,False,True,False,False,True,False,False,3,100,100,0.34,0.3431187094938334,5.504286666666667,8.37,1.33,1.47,172.11
False,True,False,False,False,True,False,True,False,True,3,50,100,0.34,0.34308052005759115,3.5306066666666664,7.83,1.77,1.38,145.81
False,True,False,False,False,True,True,False,False,False,3,100,100,0.35,0.34305754108085273,3.4943199999999996,8.66,1.63,1.76,128.55
True,True,True,False,False,False,True,True,True,True,5,0,100,0.31,0.3429318583805736,3.8776933333333337,7.96,1.0,1.24,153.43
True,False,False,True,False,False,True,True,True,False,5,100,100,0.32,0.34291761118054515,3.0205333333333333,8.21,1.41,1.51,128.26
False,True,True,True,False,False,True,True,True,True,5,100,100,0.31,0.34291676451000463,3.64202,7.28,0.7,1.6,126.63
True,False,True,False,False,False,False,True,True,False,3,100,100,0.33,0.34215863692104587,4.209186666666667,7.69,1.1,1.55,136.36
True,True,True,True,False,False,True,True,False,True,5,50,100,0.33,0.3420720113003473,3.38384,9.06,2.1,1.94,143.55
False,True,False,True,False,False,False,True,True,False,5,50,100,0.3,0.3419849282652698,4.11284,6.84,1.16,1.44,143.54
True,False,True,True,False,False,False,True,True,True,5,50,100,0.34,0.3417306200106252,4.663366666666667,10.43,2.22,2.18,164.48
True,True,True,False,True,True,True,True,False,False,5,50,100,0.36,0.34164314065485213,4.8441,7.96,1.05,1.52,169.09
True,False,True,False,True,False,True,False,True,False,3,50,100,0.3,0.3414828983180184,3.3569066666666667,8.22,1.82,1.51,135.39
False,True,True,True,False,False,True,False,False,True,3,0,100,0.34,0.34148031445203053,5.01914,7.37,0.76,1.1,160.19
True,True,False,True,False,False,True,False,True,True,5,100,100,0.31,0.3414695530860138,4.28242,7.37,0.99,1.31,152.63
False,True,True,False,True,True,True,True,True,True,3,100,100,0.31,0.3414579516045916,3.5156466666666666,7.29,1.4,1.19,138.2
False,True,True,False,False,False,True,False,True,True,3,50,100,0.33,0.34131812542079665,4.123173333333334,8.96,1.1,1.67,150.54
True,True,False,False,True,False,False,True,True,False,3,0,100,0.34,0.3410873789269167,3.7151666666666667,8.47,1.55,1.64,157.64
False,True,True,True,True,False,False,False,True,False,5,100,100,0.33,0.3410616910696475,3.7288866666666665,8.6,1.75,1.83,137.97
True,True,False,False,True,True,False,True,True,False,3,50,100,0.33,0.34073082637643326,3.3019866666666666,9.05,2.32,1.76,120.53
True,True,True,False,False,True,True,False,False,False,5,0,100,0.33,0.3406482948800333,4.902486666666666,8.88,1.68,1.75,156.76
True,False,True,True,False,False,False,False,False,True,5,0,100,0.33,0.34022227706240343,3.0761133333333333,8.43,1.27,1.83,122.3
False,True,False,False,True,True,True,False,True,True,5,100,100,0.32,0.3398197914338812,3.88734,7.75,1.9,1.65,139.7
False,True,True,True,False,True,True,True,True,True,3,50,100,0.31,0.3397479181791551,2.58334,7.06,1.59,1.4,128.07
True,False,False,False,False,True,True,False,False,False,3,100,100,0.32,0.3396773977082305,3.7091333333333334,7.88,1.46,1.44,130.44
True,True,True,True,False,False,True,True,False,True,5,0,100,0.32,0.3396267721979567,4.03082,8.79,2.37,1.91,147.09
False,True,True,False,False,False,True,True,False,False,5,0,100,0.31,0.33956081038823677,3.6682266666666665,9.09,1.65,1.77,142.16
True,True,False,False,False,True,True,True,False,False,5,100,100,0.27,0.3392535157528759,2.902826666666667,6.43,0.93,1.07,122.58
True,True,False,True,True,False,False,False,True,True,5,0,100,0.31,0.33904607502753076,3.7021266666666666,7.5,0.73,1.62,134.31
True,True,True,True,True,True,False,True,True,False,5,0,100,0.29,0.3389537956167328,3.0232533333333333,7.13,1.08,1.56,116.82
True,True,True,False,False,True,False,True,True,False,5,50,100,0.36,0.3388399378623733,4.292533333333333,9.01,1.47,1.93,143.88
False,True,True,False,False,False,False,True,True,True,3,100,100,0.27,0.3386969039120805,3.2478666666666665,6.93,1.0,1.34,124.13
False,True,False,False,True,False,False,True,True,True,5,100,100,0.35,0.33868787756856333,4.928166666666667,8.7,1.09,1.67,176.65
True,True,False,True,False,True,True,True,False,True,3,50,100,0.36,0.33868204638566246,4.770779999999999,9.28,2.32,2.02,151.11
True,False,True,False,True,False,True,True,False,True,5,0,100,0.33,0.3382862561211175,3.796426666666667,7.57,1.39,1.55,134.0
False,True,True,False,True,False,False,True,False,True,3,100,100,0.33,0.3380723145529943,4.973633333333334,7.99,1.6,1.66,160.25
True,True,True,True,True,True,True,False,False,False,3,50,100,0.37,0.33806707520166396,4.4140999999999995,9.03,1.64,1.68,155.29
True,False,True,True,False,True,False,True,True,False,3,50,100,0.37,0.33805638297132956,4.10366,9.19,1.38,1.8,142.74
False,True,False,True,False,True,True,False,False,True,3,0,100,0.32,0.337717631316985,3.9628333333333337,8.49,1.42,1.63,143.7
True,False,False,True,True,True,True,True,False,False,3,50,100,0.34,0.33748693234680305,3.9801800000000003,8.89,1.58,1.99,130.59
True,False,False,False,True,True,True,False,False,True,3,50,100,0.34,0.33743704523426543,3.9238266666666664,7.76,1.87,1.56,133.09
True,False,True,False,True,False,True,False,False,False,5,50,100,0.3,0.337306884177926,4.062073333333333,6.62,0.99,1.08,146.35
False,True,True,True,False,True,False,False,False,True,3,100,100,0.35,0.3371736549337235,3.6250999999999998,8.23,1.63,1.67,136.94
True,True,True,False,True,True,False,False,False,False,3,0,100,0.36,0.3371113083780192,4.399633333333333,9.63,2.49,2.27,151.52
True,True,True,True,True,True,True,False,True,True,3,100,100,0.32,0.3369973320033977,3.5745533333333332,7.73,0.72,1.64,127.79
