buy_brown,buy_light_blue,buy_pink,buy_orange,buy_red,buy_yellow,buy_green,buy_indigo,buy_stations,buy_utilities,max_development_level,unspendable_cash,n_games,wins,avg_props,avg_houses,avg_hotels,avg_turns,raw_win_rate,smoothed_win_rate
0,1,0,0,1,0,0,0,1,0,3,0,100,23,7.19,1.09,1.15,130.9,0.23,0.23084600106595005
0,1,0,0,1,0,0,0,1,0,3,50,100,23,6.81,0.69,1.36,144.99,0.23,0.23084600106595005
0,1,0,0,1,0,0,0,1,0,3,100,100,22,5.91,0.64,1.01,139.06,0.22,0.22132219154214053
0,1,0,0,1,0,0,0,1,0,5,0,100,25,7.08,1.33,1.21,128.98,0.25,0.2498936201135691
0,1,0,0,1,0,0,0,1,0,5,50,100,22,6.07,1.11,1.02,124.58,0.22,0.22132219154214053
0,1,0,0,1,0,0,0,1,0,5,100,100,26,7.34,1.01,1.47,126.68,0.26,0.2594174296373786
0,1,0,0,1,0,0,0,1,1,3,0,100,20,5.45,0.63,1.01,145.41,0.2,0.2022745724945215
0,1,0,0,1,0,0,0,1,1,3,50,100,26,7.05,0.88,1.44,136.68,0.26,0.2594174296373786
0,1,0,0,1,0,0,0,1,1,3,100,100,25,7.6,1.32,1.28,159.6,0.25,0.2498936201135691
0,1,0,0,1,0,0,0,1,1,5,0,100,26,6.25,0.54,1.19,133.15,0.26,0.2594174296373786
0,1,0,0,1,0,0,0,1,1,5,50,100,22,6.6,1.34,1.43,139.86,0.22,0.22132219154214053
0,1,0,0,1,0,0,0,1,1,5,100,100,27,7.5,1.27,1.43,126.3,0.27,0.2689412391611882
0,1,0,0,1,0,0,1,0,0,3,0,100,19,4.69,0.48,0.77,162.57,0.19,0.19275076297071195
0,1,0,0,1,0,0,1,0,0,3,50,100,28,6.94,1.02,1.33,163.02,0.28,0.27846504868499766
0,1,0,0,1,0,0,1,0,0,3,100,100,34,8.37,1.33,1.47,172.11,0.34,0.3356079058278548
0,1,0,0,1,0,0,1,0,0,5,0,100,22,7.35,1.33,1.24,166.25,0.22,0.22132219154214053
0,1,0,0,1,0,0,1,0,0,5,50,100,29,7.18,0.98,1.24,169.98,0.29,0.2879888582088072
0,1,0,0,1,0,0,1,0,0,5,100,100,23,6.9,0.98,1.17,165.73,0.23,0.23084600106595005
0,1,0,0,1,0,0,1,0,1,3,0,100,23,6.22,1.25,0.98,146.84,0.23,0.23084600106595005
0,1,0,0,1,0,0,1,0,1,3,50,100,31,8.43,1.68,1.69,150.71,0.31,0.30703647725642624
0,1,0,0,1,0,0,1,0,1,3,100,100,28,7.39,1.81,1.41,131.94,0.28,0.27846504868499766
0,1,0,0,1,0,0,1,0,1,5,0,100,32,8.15,1.34,1.53,120.84,0.32,0.3165602867802358
0,1,0,0,1,0,0,1,0,1,5,50,100,19,5.35,0.87,0.61,153.13,0.19,0.19275076297071195
0,1,0,0,1,0,0,1,0,1,5,100,100,22,6.77,1.44,1.39,150.96,0.22,0.22132219154214053
0,1,0,0,1,0,0,1,1,0,3,0,100,25,7.48,1.38,1.42,124.73,0.25,0.2498936201135691
0,1,0,0,1,0,0,1,1,0,3,50,100,23,7.05,1.6,1.39,135.04,0.23,0.23084600106595005
