buy_brown,buy_light_blue,buy_pink,buy_orange,buy_red,buy_yellow,buy_green,buy_indigo,buy_stations,buy_utilities,max_development_level,unspendable_cash,predicted_win_prob,owned_sets,rank,points
1,0,0,1,0,1,0,1,0,1,4,50.0,0.10688944542698738,"brown, orange, yellow, indigo, utilities",181,181
1,1,0,1,0,0,0,0,0,1,4,50.0,0.10687964760973756,"brown, light_blue, orange, utilities",182,182
1,1,0,1,0,1,1,1,1,1,4,50.0,0.106869459900695,"brown, light_blue, orange, yellow, green, indigo, stations, utilities",183,183
0,1,0,0,1,0,1,1,1,0,4,50.0,0.1068537648689883,"light_blue, red, green, indigo, stations",184,184
1,0,0,1,0,1,0,1,1,1,4,50.0,0.10684516557835053,"brown, orange, yellow, indigo, stations, utilities",185,185
1,1,1,1,0,1,1,1,1,1,4,50.0,0.1067821368369019,"brown, light_blue, pink, orange, yellow, green, indigo, stations, utilities",186,186
0,1,0,0,1,1,1,1,0,1,4,50.0,0.10670146465370645,"light_blue, red, yellow, green, indigo, utilities",187,187
1,1,0,1,1,0,0,0,0,1,4,50.0,0.10667744879689964,"brown, light_blue, orange, red, utilities",188,188
1,1,1,0,0,0,0,1,0,0,4,50.0,0.1066434316749691,"brown, light_blue, pink, indigo",189,189
1,1,0,0,1,0,0,1,0,1,4,50.0,0.10664139392151387,"brown, light_blue, red, indigo, utilities",190,190
1,1,0,0,0,1,1,1,1,1,4,50.0,0.1066072883369766,"brown, light_blue, yellow, green, indigo, stations, utilities",191,191
1,1,1,1,0,1,0,1,0,1,4,50.0,0.10655582740383052,"brown, light_blue, pink, orange, yellow, indigo, utilities",192,192
1,0,0,0,0,1,1,1,1,1,4,50.0,0.10654561327545573,"brown, yellow, green, indigo, stations, utilities",193,193
1,1,1,1,1,1,1,0,0,1,4,50.0,0.10647733674965779,"brown, light_blue, pink, orange, red, yellow, green, utilities",194,194
1,1,0,0,0,0,1,1,0,0,4,50.0,0.10642827599367577,"brown, light_blue, green, indigo",195,195
0,1,0,0,0,1,0,1,1,0,4,50.0,0.10639202367585712,"light_blue, yellow, indigo, stations",196,196
1,1,0,1,0,0,0,0,0,0,4,50.0,0.10638617726477766,"brown, light_blue, orange",197,197
0,1,0,0,1,1,1,1,0,0,4,50.0,0.10635181522903545,"light_blue, red, yellow, green, indigo",198,198
0,1,0,1,1,0,0,1,0,1,4,50.0,0.10632951900141611,"light_blue, orange, red, indigo, utilities",199,199
1,1,1,0,1,0,1,1,1,1,4,50.0,0.10632177678104145,"brown, light_blue, pink, red, green, indigo, stations, utilities",200,200
0,1,0,0,1,1,1,0,1,1,4,50.0,0.10631213297155276,"light_blue, red, yellow, green, stations, utilities",201,201
1,1,1,0,0,1,1,0,1,1,4,50.0,0.10627525578382371,"brown, light_blue, pink, yellow, green, stations, utilities",202,202
0,1,1,0,0,0,1,1,1,1,4,50.0,0.10626474466834487,"light_blue, pink, green, indigo, stations, utilities",203,203
1,0,0,1,1,1,1,1,1,1,4,50.0,0.10625835769507434,"brown, orange, red, yellow, green, indigo, stations, utilities",204,204
1,1,0,1,1,0,1,1,0,1,4,50.0,0.10625633801469805,"brown, light_blue, orange, red, green, indigo, utilities",205,205
0,1,0,0,1,0,0,1,1,0,4,50.0,0.10623253846996124,"light_blue, red, indigo, stations",206,206
1,1,0,0,1,0,0,1,1,0,4,50.0,0.10620267682674163,"brown, light_blue, red, indigo, stations",207,207
0,1,1,0,0,0,1,1,1,0,4,50.0,0.10618018719695133,"light_blue, pink, green, indigo, stations",208,208
0,0,1,1,1,1,0,1,1,1,4,50.0,0.10616866209988371,"pink, orange, red, yellow, indigo, stations, utilities",209,209
1,0,0,0,0,0,1,1,1,1,4,50.0,0.10616865646456326,"brown, green, indigo, stations, utilities",210,210
0,1,0,1,0,0,0,1,0,1,4,50.0,0.10616285872235473,"light_blue, orange, indigo, utilities",211,211
0,1,0,0,0,1,1,1,0,1,4,50.0,0.1061571515668048,"light_blue, yellow, green, indigo, utilities",212,212
1,1,0,0,0,0,1,1,1,1,4,50.0,0.10613110866063873,"brown, light_blue, green, indigo, stations, utilities",213,213
0,1,1,0,0,0,1,1,0,1,4,50.0,0.10610533028478256,"light_blue, pink, green, indigo, utilities",214,214
0,1,0,0,0,1,0,1,0,1,4,50.0,0.10609908346847945,"light_blue, yellow, indigo, utilities",215,215
1,1,0,0,1,0,1,1,0,1,4,50.0,0.10606177483593322,"brown, light_blue, red, green, indigo, utilities",216,216
0,1,0,0,0,0,1,1,1,1,4,50.0,0.10605700396719416,"light_blue, green, indigo, stations, utilities",217,217
0,1,1,0,0,0,0,1,1,0,4,50.0,0.10596060212952892,"light_blue, pink, indigo, stations",218,218
1,0,0,0,1,1,0,1,1,0,4,50.0,0.10592447122312096,"brown, red, yellow, indigo, stations",219,219
1,0,0,1,0,1,1,1,1,0,4,50.0,0.10592049855881744,"brown, orange, yellow, green, indigo, stations",220,220
1,0,0,0,1,1,0,1,0,1,4,50.0,0.10591668294929338,"brown, red, yellow, indigo, utilities",221,221
1,1,0,0,0,0,1,1,0,1,4,50.0,0.10589960252968651,"brown, light_blue, green, indigo, utilities",222,222
